dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000241,6462,6470,6438,6463,5736,3278,6359,5590
Data Zone S01000242,5848,6021,6441,5047,3928,4329,1090,3249
Data Zone S01000243,6467,6502,6370,4977,5769,5634,5689,5040
Data Zone S01000244,3679,4365,3916,3318,2907,2521,2686,1091
Data Zone S01000245,5037,4865,4543,4483,3991,3395,5437,4705
Data Zone S01000246,6007,5933,5864,4790,4947,3503,3965,5903
Data Zone S01000247,6321,6501,5793,5625,4801,4107,5933,6115
Data Zone S01000248,6230,6454,6120,5342,4605,3919,3335,5127
Data Zone S01000249,5665,5781,5524,4212,4917,2734,4692,6125
Data Zone S01000250,5811,6242,6197,5131,5003,3476,6308,1039
Data Zone S01000251,6365,6326,6309,6154,5228,2910,6008,6097
Data Zone S01000252,6079,6364,6202,4809,4691,3471,3040,4923
Data Zone S01000253,6306,6490,6481,6436,5297,2020,6225,5526
Data Zone S01000254,5927,6066,6395,5266,5053,2042,5491,3870
Data Zone S01000255,5896,6325,6046,4666,4356,2941,2251,5966
Data Zone S01000256,4864,4580,5437,2862,5446,2531,4709,3021
Data Zone S01000257,5321,5355,5301,4533,4455,3091,5144,2821
Data Zone S01000258,6331,6333,6349,6431,5677,2153,6184,5860
Data Zone S01000259,6044,6362,6364,6148,5529,1112,6299,6398
Data Zone S01000260,5952,6351,6383,5727,3921,1820,5529,6461
Data Zone S01000261,6009,5900,5528,5839,4724,3899,5731,3963
Data Zone S01000262,5768,5671,5702,5379,4233,5040,4704,2051
Data Zone S01000263,3566,4095,3344,2856,4402,1190,5385,3346
Data Zone S01000264,3744,4009,3705,2954,2012,5370,2722,3098
Data Zone S01000265,3643,4356,3791,2347,2227,4592,2189,2357
Data Zone S01000266,3965,4490,4950,2925,3821,787,4615,3422
Data Zone S01000267,3782,3868,3598,4273,3033,3427,4996,1013
Data Zone S01000268,3046,2567,3463,5222,2959,899,3961,2724
Data Zone S01000269,5036,5616,5562,5608,5863,317,5602,6326
Data Zone S01000270,4279,4916,4958,4454,4537,339,3722,5859
Data Zone S01000271,3185,4109,3631,3056,3131,429,3099,4796
Data Zone S01000272,4879,5111,5626,4309,4988,935,3224,3788
Data Zone S01000273,3867,3943,4452,6071,4076,316,5627,3367
Data Zone S01000274,4040,3984,4916,5125,2590,912,3716,4898
Data Zone S01000275,5475,4405,5465,5171,4137,4886,4452,5063
Data Zone S01000276,5923,6043,6066,6363,5982,983,6156,6441
Data Zone S01000277,4681,4646,5242,3895,4968,1726,5019,1745
Data Zone S01000278,2423,1954,3201,2584,1384,3389,5143,3044
Data Zone S01000279,5482,5141,6107,6065,5225,1442,2953,3942
Data Zone S01000280,4586,5452,5420,4207,4681,375,4050,5490
Data Zone S01000281,3879,4826,5117,5355,3260,179,1720,4949
Data Zone S01000282,4364,4787,5584,5702,4036,294,2514,4793
Data Zone S01000283,4927,5017,5721,5302,5784,468,3731,5170
Data Zone S01000284,5051,6292,6382,5650,6003,162,2489,4975
Data Zone S01000285,4977,6108,5817,5737,5516,281,4399,3458
Data Zone S01000286,4816,4347,3961,4104,4573,5590,3522,3313
Data Zone S01000287,5990,5789,5905,5247,6017,2562,5319,4122
Data Zone S01000288,6028,6171,6193,4887,4646,2827,5610,5332
Data Zone S01000289,4831,3611,4593,5191,4248,4891,4141,3263
Data Zone S01000290,2674,2171,2290,3190,2568,4700,3436,3010
Data Zone S01000291,6060,5611,5444,4986,5873,4260,5881,4900
Data Zone S01000292,5558,4841,5407,4158,5604,5553,5400,2358
Data Zone S01000293,4587,3731,4868,3557,5156,6378,3800,782
Data Zone S01000294,6323,5839,6013,6294,5413,3459,6263,6304
Data Zone S01000295,6395,5985,6122,6040,5793,3568,6212,6487
Data Zone S01000296,6412,5620,5930,6019,6284,5569,5879,4562
Data Zone S01000297,5257,5589,5052,3787,4763,2407,6166,4802
Data Zone S01000298,6229,5795,5896,6013,5625,3604,5843,4404
Data Zone S01000299,5264,6198,6297,5286,6149,267,5004,5999
Data Zone S01000300,5113,6136,6111,6241,5493,272,3237,4003
Data Zone S01000301,5438,6008,6036,6030,5428,628,4580,4604
Data Zone S01000302,4688,6131,6246,5710,5692,43,2444,5746
Data Zone S01000303,4645,5553,4788,6364,5302,332,2472,3916
Data Zone S01000304,5905,6420,6478,6106,5889,685,6498,6276
Data Zone S01000305,4755,5273,5312,4807,4311,577,4351,5983
Data Zone S01000306,5178,6444,6212,6290,6147,144,3693,5643
Data Zone S01000307,5387,5903,6072,4657,5458,682,6188,6249
Data Zone S01000308,5271,6081,6306,5895,5217,404,5372,4237
Data Zone S01000309,5013,5534,6114,5481,5241,370,3769,4895
Data Zone S01000310,6160,6221,6198,5813,5263,2168,5562,5618
Data Zone S01000311,6022,6194,6154,4936,6155,5364,5081,723
Data Zone S01000312,5319,4626,5824,4014,4266,4501,2079,4351
Data Zone S01000313,5806,5436,5660,3905,6215,3237,5513,5379
Data Zone S01000314,5700,5926,5707,4705,4134,2711,4568,6201
Data Zone S01000315,6372,6250,6304,5185,6189,3176,6432,5716
Data Zone S01000316,4227,3995,3812,3227,3103,6145,5467,2940
Data Zone S01000317,4381,4173,4864,2457,3207,4625,5151,3565
Data Zone S01000318,6503,6477,6497,6483,6449,4126,6298,5804
Data Zone S01000319,5740,6086,6413,3519,4857,3286,6079,2782
Data Zone S01000320,6220,6230,6390,4262,5643,4058,2913,4980
Data Zone S01000321,5652,6154,5940,6058,5600,718,5772,6220
